Date,2020 General Election,2017 General Election,2014 General Election
2020-09-30,,,12031
2020-10-01,,,14585
2020-10-02,,,16747
2020-10-03,92706,,6134
2020-10-04,67423,0,0
2020-10-05,107299,39570,22234
2020-10-06,103579,48238,22846
2020-10-07,107853,66084,23950
2020-10-08,,72932,29033
2020-10-09,,82422,31753
2020-10-10,,89480,46200
2020-10-11,,45306,0
2020-10-12,,105228,60966
2020-10-13,,123307,62595
2020-10-14,,133813,86021
2020-10-15,,180887,122017
2020-10-16,,253473,160467
Totals,478860,1240740,717579